storeNumber,area,description,type,paymeKassaId,sortKey
11/4a,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b109,81
11/5,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b110,82
11/6,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b111,83
11/7,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b112,84
11/10,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b113,85
11/11,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b114,86
11/12,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b115,87
11/13,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b116,88
11/15,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b117,89
11/16,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b118,90
11/16a,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b119,91
12/3,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b120,92
12/4,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b121,93
12/5,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b122,94
12/9,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b123,95
12/10a,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b124,96
12/12,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b125,97
12/14,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b126,98
13/1,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b127,99
13/3,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b128,100
13/8,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b129,101
13/16,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b130,102
14/1,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b131,103
14/5,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b132,104
14/6,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b133,105
14/11,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b134,106
14/14,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b135,107
15/1,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b136,108
15/5,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b137,109
15/7,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b138,110
15/8,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b139,111
15/9,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b140,112
15/10,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b141,113
15/11,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b142,114
15/12,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b143,115
15/13,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b144,116
16/1,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b145,117
16/3,5.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b146,118
16/6,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b147,119
16/9,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b148,120
16/15,11,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b149,121
17/3,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b150,122
17/4,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b151,123
17/5,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b152,124
18/1,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b153,125
18/2,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b154,126
18/3,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b155,127
18/6,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b156,128
18/10,4.5,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b157,129
18/12,9,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b158,130
19/1,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b159,131
19/5,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b160,132
19/10,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b161,133
19/12,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b162,134
19/14,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b163,135
20/1,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b164,136
20/3,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b165,137
20/4,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b166,138
20/5,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b167,139
20/6,15.2,озик - овкат ва ноозик-овкат,SHOP,68b142e5b8dc9a4fcc7e5b168,140
